"ID_Vaca","Edad","Lact_N","Lact_Dias","Leche_24h","Dias_Enferma","Fecha_Evento","Comentario_1","Comentario_2"
"2905","6.0","4","257","35.3","****","10-06-22","PI","BIO3+ENR4+MULT5"
"2905","6.0","4","257","35.3","-933","19-12-22","AI","NEO+ENRO4+   BIO1+GEN4+MUL5"
"2905","6.0","4","257","35.3","-668","10-09-23","PD","NEO4+ENRO6"
"2905","6.0","4","257","35.3","-158","1-02-25","AI","MEL4+GENT6"
"2913","5.9","3","386","0.0","-816","7-12-22","AD","NEO3+ENR4+MUL4"
"2913","5.9","3","386","0.0","-567","13-08-23","AD","MEL+GENT4    +NEO3+ENRO5"
"2913","5.9","3","386","0.0","-520","29-09-23","PD","NEO+ENRO4    +MEL3+GENT5"
"2913","5.9","3","386","0.0","-498","21-10-23","PI","BIOF+ENRO3   +ENRLA2+LINA5"
"2913","5.9","3","386","0.0","-224","21-07-24","AD","BIO+ENR4+NE+GE5"
"2913","5.9","3","386","0.0","67","8-05-25","PI","NEO4+ENRO7"
"2924","5.9","4","374","29.3","-461","9-12-23","PI","MEL3+GENTA6"
"2924","5.9","4","374","29.3","-247","10-07-24","AD","BIO+ENRO3"
"2927","5.9","4","265","37.5","****","11-05-22","AD","BIO+ENR5"
"2927","5.9","4","265","37.5","-771","22-05-23","PI","NEO+ENR4     +ENRLA1+MULT5"
"2927","5.9","4","265","37.5","-744","18-06-23","PD","MELOX+GENT4 +BIOF4+ENRO6"
"2927","5.9","4","265","37.5","-729","3-07-23","PD","BIO+ENR4+ENR OLA1+MEL2+GEN5"
"2927","5.9","4","265","37.5","-620","20-10-23","PD","NEOG+ENRO2"
"2927","5.9","4","265","37.5","-297","7-09-24","PD","BIO4+ENRO6"
"2927","5.9","4","265","37.5","-215","28-11-24","AD","NE+EN+BIO4+ANT5"
"2927","5.9","4","265","37.5","12","13-07-25","PD","NEO4+ENRO7+ANT4"
"2927","5.9","4","265","37.5","38","8-08-25","PD","NEO4+ANTIMAS6"
"2936","5.9","4","279","30.9","-749","30-05-23","PD","BIO+ENR4     +ENRLA1+MULT5"
"2936","5.9","4","279","30.9","-603","23-10-23","PD","BIO4+ENR6    +ENRLA2+MELO2"
"2948","5.8","4","296","42.6","-405","21-04-24","AI","NEO6+ENRO4"
"2950","5.8","4","408","34.0","-954","30-06-22","PD","ENRO3        ENROLA2+MULT5"
"2962","5.7","4","212","47.4","-735","19-08-23","PI","NEO+ENRO4    +MEL3+GENT5"
"2972","5.7","3","325","41.5","52","23-06-25","AD","BIO4+ENRO6+ANT4"
"2991","5.5","3","528","30.0","-657","24-12-22","PD","BIO+ENR4+    NE2+MUL5+ENRLA2"
"2991","5.5","3","528","30.0","92","11-01-25","AD","NE+EN4+GE+ME+A6"
"2995","5.4","3","549","26.0","-768","14-08-22","AI","NEO4+MULT5"
"2995","5.4","3","549","26.0","-722","29-09-22","AI","NEO+ENRO4+MUL5"
"2995","5.4","3","549","26.0","310","27-07-25","AI","NEO4+ENR6+ANT4"
"2997","5.4","4","221","40.7","-810","27-05-23","AD","MEL3+ENRO4+MUL3"
"3000","5.4","3","316","0.0","-446","20-02-24","AI","NEO4+ENRO6"
"3000","5.4","3","316","0.0","-339","6-06-24","PD","NEO4+ENRO6"
"3000","5.4","3","316","0.0","-137","25-12-24","PI","NEO4+ENRO6"
"3018","5.1","3","321","41.9","-333","7-06-24","AI","BI4+EN7+NE4+AN6"
"3018","5.1","3","321","41.9","-194","24-10-24","PI","BIO4+ANTI7"
"3020","5.1","3","289","40.4","-848","10-02-23","PD","NEOG4+ENRO5"
"3023","5.1","3","410","28.9","114","31-05-25","PD","NEO4+ENRO6"
"3023","5.1","3","410","28.9","207","1-09-25","PD","BIO4+ENRO6"
"3033","5.0","3","254","46.4","-204","20-12-24","PD","BIO4+ENRO6"
"3033","5.0","3","254","46.4","12","24-07-25","PD","AI           BIO4+ENRO7"
"3035","5.0","3","274","35.4","-374","13-06-24","PD","NEO4+ENRO7"
"3035","5.0","3","274","35.4","-219","15-11-24","AI","NEO4+ENR+ANT6"
"3035","5.0","3","274","35.4","-118","24-02-25","AI","NEO4+ENRO6"
"3041","5.0","3","310","45.7","-718","30-05-23","AI","NEO4+MULT5"
"3041","5.0","3","310","45.7","95","20-08-25","AI","NEO4+ENRO6"
"3043","5.0","3","314","43.9","-730","14-05-23","PI","ME+GEN+NEO4+ ENRLA1+ENR4+MU5"
"3043","5.0","3","314","43.9","-473","26-01-24","PI","BIO1+ANTIMAST6"
"3043","5.0","3","314","43.9","-355","23-05-24","PD","BIO+EN4+ME3+GE5"
"3043","5.0","3","314","43.9","-306","11-07-24","AI","ENR3+NE+GE+ANT6"
"3043","5.0","3","314","43.9","-177","17-11-24","PD","NEO4+ENRO6"
"3043","5.0","3","314","43.9","86","7-08-25","PD","MEL4+GENT7"
"3052","4.9","3","252","41.9","44","27-08-25","AD","BIO4+ENRO6"
"3058","4.9","2","655","24.3","-333","9-07-23","AD","BIO+ENR4+ENR LA2+MEL4+GENT6"
"3058","4.9","2","655","24.3","7","13-06-24","PI","NEO4+ENRO7"
"3065","4.9","2","436","0.0","-196","29-06-24","PI","NEO4+ENRO6"
"3065","4.9","2","436","0.0","-58","14-11-24","AD","NE4+ENR6+ANT5"
"3073","4.8","3","366","39.4","-734","19-03-23","AI+AD","NEOG4+ENRO5"
"3073","4.8","3","366","39.4","-668","24-05-23","PD","BIO+ENRO4+   ENLA1+MULT5"
"3073","4.8","3","366","39.4","-591","9-08-23","PD","MEL3+GENT6"
"3073","4.8","3","366","39.4","-565","4-09-23","PD","BIO4+ENRO6"
