"ID_Vaca","Grupo","Estatus","DIM","Leche_AM","Leche_Total","Leche_Anterior","Variacion","CCS"
"3272","25","Matar","538",15.39,30.6,30.1,0.25,"8593"
"3275","25","Preñ2","523",14.64,30.6,28.6,0.29,"9261"
"3279","25","Matar","530",15.48,31.6,27.5,0.91,"8874"
"3282","25","Preñ","517",11.97,23.9,23.9,-0.62,"8704"
"3283","25","Preñ","515",15.25,30.1,29.9,0.13,"9125"
"3314","25","Abort","381",17.22,33,30.4,-0.08,"4898"
"3317","25","Insem","374",15.97,33.4,32.2,0.03,"4564"
"3320","25","Preñ","409",19.42,40.1,40.5,0,"6544"
"3324","25","Preñ","404",15.42,32.7,32.4,0.58,"5512"
"3326","25","Preñ","365",14.3,30.8,25.8,-0.82,"4519"
"3334","25","Preñ2","404",11,23.4,22.9,0.06,"4232"
"3335","25","Preñ","386",19.78,38,35.2,0.29,"5490"
"3338","25","Preñ","391",17.65,34,35.3,-0.24,"5319"
