"ID","Nombre","Categoria","Estatus_Repro","X1","Es_Vaca","Es_Recria","Ficha","Leche_Ult","DEL_Ult","Año","Mes","Ubicacion","ID_Num"
"-267","S/N","Vaca","Vacia/Abierta","-267","TRUE","FALSE","3-12-24 AD BIO4+ANTI6 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -267 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-267
"-269","S/N","Vaca","Vacia/Abierta","-269","TRUE","FALSE","21-10-24 PI NEO+ANTI4+ENR6 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -269 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-269
"-274","S/N","Vaca","Vacia/Abierta","-274","TRUE","FALSE","31-08-24 PD BIO4+ENRO6 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -274 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-274
"-293","S/N","Vaca","Vacia/Abierta","-293","TRUE","FALSE","29-08-24 AI BI+ENR4+ME4+GE6 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -293 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-293
"-295","S/N","Vaca","Vacia/Abierta","-295","TRUE","FALSE","1-09-24 PD NEO4+ENRO6 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -295 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-295
"-297","S/N","Vaca","Vacia/Abierta","-297","TRUE","FALSE","7-09-24 PD BIO4+ENRO6 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -297 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-297
"-306","S/N","Vaca","Vacia/Abierta","-306","TRUE","FALSE","11-07-24 AI ENR3+NE+GE+ANT6 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -306 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-306
"-339","S/N","Vaca","Vacia/Abierta","-339","TRUE","FALSE","6-06-24 PD NEO4+ENRO6 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -339 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-339
"-343","S/N","Vaca","Vacia/Abierta","-343","TRUE","FALSE","1-08-24 AD NE+EN4+GE5+ME4 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -343 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-343
"-345","S/N","Vaca","Vacia/Abierta","-345","TRUE","FALSE","5-09-24 AI BI+ENR4+ME3+GE5 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -345 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-345
"-349","S/N","Vaca","Vacia/Abierta","-349","TRUE","FALSE","5-07-24 AI BIO4+ENRO6 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -349 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-349
"-350","S/N","Vaca","Vacia/Abierta","-350","TRUE","FALSE","4-10-23 AI LINALTEN5 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -350 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-350
"-355","S/N","Vaca","Vacia/Abierta","-355","TRUE","FALSE","23-05-24 PD BIO+EN4+ME3+GE5 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -355 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-355
"-360","S/N","Vaca","Vacia/Abierta","-360","TRUE","FALSE","27-03-24 AD ENR+NE4+GE6+ME3 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -360 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-360
"-363","S/N","Vaca","Vacia/Abierta","-363","TRUE","FALSE","27-03-24 PI BIOF+ENRO4+ANT6 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -363 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-363
"-382","S/N","Vaca","Vacia/Abierta","-382","TRUE","FALSE","2-08-24 AI NEO+ENR+ME4+GE5 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -382 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-382
"-416","S/N","Vaca","Vacia/Abierta","-416","TRUE","FALSE","29-06-24 AI AD NE4+EN9+GE+ANT5 NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -416 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-416
"-433","S/N","Vaca","Vacia/Abierta","-433","TRUE","FALSE","3-05-24 PD BIO+ENR4+ME+GE5 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -433 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-433
"-448","S/N","Vaca","Vacia/Abierta","-448","TRUE","FALSE","2-01-24 PD BIOF4+ENRO6 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -448 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-448
"-449","S/N","Vaca","Vacia/Abierta","-449","TRUE","FALSE","27-03-24 PD NEO+ENRO4+ANT5 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -449 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-449
"-471","S/N","Vaca","Vacia/Abierta","-471","TRUE","FALSE","10-12-23 AI BI+ENR4+ME3+GE5 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -471 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-471
"-473","S/N","Vaca","Vacia/Abierta","-473","TRUE","FALSE","26-01-24 PI BIO1+ANTIMAST6 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -473 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-473
"-477","S/N","Vaca","Vacia/Abierta","-477","TRUE","FALSE","7-05-24 PI NEO4+ANTI5 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -477 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-477
"-498","S/N","Vaca","Vacia/Abierta","-498","TRUE","FALSE","21-10-23 PI BIOF+ENRO3 +ENRLA2+LINA5 NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -498 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-498
"-499","S/N","Vaca","Vacia/Abierta","-499","TRUE","FALSE","15-04-24 AD NE+ENR4+GE5+ME3 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -499 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-499
"-500","S/N","Vaca","Vacia/Abierta","-500","TRUE","FALSE","5-02-24 PI NEOG4+ENRO6 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -500 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-500
"-513","S/N","Vaca","Vacia/Abierta","-513","TRUE","FALSE","23-01-24 PI MEL4+GENTA6 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -513 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-513
"-520","S/N","Vaca","Vacia/Abierta","-520","TRUE","FALSE","29-09-23 PD NEO+ENRO4 +MEL3+GENT5 NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -520 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-520
"-524","S/N","Vaca","Vacia/Abierta","-524","TRUE","FALSE","12-01-24 PD BIOF4+ENRO6 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -524 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-524
"-531","S/N","Vaca","Vacia/Abierta","-531","TRUE","FALSE","18-08-23 PI BIOF4+TOTALMAS3 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -531 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-531
"-546","S/N","Vaca","Vacia/Abierta","-546","TRUE","FALSE","18-02-24 AD ENR+NE4+ME+GE6 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -546 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-546
"-560","S/N","Vaca","Vacia/Abierta","-560","TRUE","FALSE","12-09-23 PD NEO+ENRO4 +BIO2+LINALTEN4 NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -560 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-560
"-565","S/N","Vaca","Vacia/Abierta","-565","TRUE","FALSE","4-09-23 PD BIO4+ENRO6 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -565 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-565
"-567","S/N","Vaca","Vacia/Abierta","-567","TRUE","FALSE","13-08-23 AD MEL+GENT4 +NEO3+ENRO5 NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -567 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-567
"-568","S/N","Vaca","Vacia/Abierta","-568","TRUE","FALSE","29-01-24 AI BIO+ENRO3 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -568 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-568
"-575","S/N","Vaca","Vacia/Abierta","-575","TRUE","FALSE","22-11-23 PI NEOG+ENR4+GENT5 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -575 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-575
"-579","S/N","Vaca","Vacia/Abierta","-579","TRUE","FALSE","24-08-23 AD NEO+ENRO4 +BIOF3+GENT5 NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -579 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-579
"-58","S/N","Vaca","Vacia/Abierta","-58","TRUE","FALSE","14-11-24 AD NE4+ENR6+ANT5 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -58 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-58
"-583","S/N","Vaca","Vacia/Abierta","-583","TRUE","FALSE","1-09-23 AD NEO+ENRO4 +MEL3+GENT5 NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -583 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-583
"-591","S/N","Vaca","Vacia/Abierta","-591","TRUE","FALSE","9-08-23 PD MEL3+GENT6 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -591 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-591
"-600","S/N","Vaca","Vacia/Abierta","-600","TRUE","FALSE","5-01-24 AD NE+ENR4+ME3+GE5 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -600 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-600
"-603","S/N","Vaca","Vacia/Abierta","-603","TRUE","FALSE","23-10-23 PD BIO4+ENR6 +ENRLA2+MELO2 NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -603 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-603
