"ID_Vaca","Grupo","Estatus","DIM","Leche_AM","Leche_Total","Leche_Anterior","Variacion","CCS","Lact_N","Status_Repro","Casos_Mastitis","Dias_Faltan_Parto","Fecha_Secado","Tipo","Status_Final","Fecha_Nac","Edad_Meses","Categoria","Toro_Padre"
"3189","14","Preñ","310","23.4","45.7","44.1","0.02","5173","2","Preñ","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3193","14","Insem","301","17.02","33.7","35.1","-0.57","4224","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3199","14","Insem","353","16.45","30.1","28.1","-0.39","5796","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3202","14","Insem","291","19.65","37.8","36.3","-0.32","3573","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3205","14","Preñ","346","20.27","40","37.7","-0.31","6080","2","Preñ","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3209","14","Preñ","329","21.61","42.2","38.6","-0.23","5560","2","Preñ","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3211","14","Insem","330","17.74","34.5","33.6","0.42","4277","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3215","14","Insem","303","24.86","46.3","43.5","-0.27","4729","0","0","1","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3236","14","Insem","276","19.97","37.4","37.8","-0.31","3058","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"2894","15","Alta","223","27.08","55","50.8","-0.07","1112","0","0","1","0","0","VACA","EN ORDEÑO","0","0","0","0"
"2956","15","Alta","226","21.41","44.8","44.1","-0.1","1428","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3081","15","Vacia","259","22.86","44.2","40.5","-0.67","3123","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3090","15","Insem","269","23.83","47.6","40.9","-0.06","3724","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3096","15","Vacia","273","20.33","40.6","40.1","-0.3","3315","0","0","2","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3125","15","Alta","227","22.66","45.7","43.3","-0.28","1049","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3192","15","Insem","274","17.74","38.1","36.1","0.1","3026","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3200","15","Vacia","272","21.33","46","42.5","-0.06","2900","0","0","1","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3212","15","Insem","273","26.27","49.6","45.2","0.24","3354","0","0","2","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3214","15","Vacia","261","22.76","44.6","41.4","-0.24","2870","0","0","1","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3218","15","Vacia","273","23.98","48.2","47.6","0.08","3424","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3221","15","Insem","274","23.38","47.3","43.6","-0.08","3466","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3242","15","Vacia","267","21.51","41.1","38.5","0.23","2773","0","0","1","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3247","15","Alta","222","23.8","49.8","47.9","-1.2","1134","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3250","15","Insem","272","21.97","43.9","42.3","0.09","3254","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"2805","16","Vacia","256","20.1","41.2","38","-0.56","2595","0","0","8","0","0","VACA","EN ORDEÑO","0","0","0","0"
"2969","16","Alta","233","26.96","55.5","52.1","-0.01","2019","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3033","16","Vacia","254","23.35","47.7","46.4","-0.23","2565","0","0","2","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3052","16","Alta","252","22.89","43.6","41.9","-0.59","2439","0","0","1","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3080","16","Vacia","258","21.98","45.9","46.8","-0.06","2231","0","0","2","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3094","16","Alta","249","24.48","50.8","49.9","0.58","2520","0","0","3","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3106","16","Alta","237","25.31","49.8","46","-0.57","2135","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3107","16","Vacia","257","15.18","33.5","31.6","-0.77","5214","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3152","16","Alta","244","27.08","52.4","49.1","-0.38","2436","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3184","16","Vacia","256","20.7","43.3","41.5","-0.01","2924","0","0","1","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3203","16","Alta","233","21.42","42.5","39.8","-0.1","1470","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3224","16","Alta","249","21.78","42.6","40.3","-0.53","2400","0","0","1","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3227","16","Vacia","255","18.64","38.1","38.5","0.08","2373","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3244","16","Alta","241","21.97","44.5","42.7","-0.46","1941","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3246","16","Insem","264","18.26","36.9","34.8","-0.56","2574","0","0","1","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3255","16","Alta","231","22.31","42.7","43.2","-0.11","1526","0","0","2","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3259","16","Alta","249","19.28","38.5","36.8","0.58","2122","0","0","1","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3261","16","Alta","240","20.81","42.2","41.1","-0.31","2117","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3262","16","Alta","237","21.91","44.4","40.5","-1.43","2001","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"2770","17","Insem","277","18.6","40.8","41.5","0.57","1274","0","0","23","0","0","VACA","EN ORDEÑO","0","0","0","0"
"2843","17","Matar","348","18.22","40.1","42.3","-0.25","6477","0","0","2","0","0","VACA","EN ORDEÑO","0","0","0","0"
"2886","17","Vacia","259","10.83","30.4","32.2","0.04","2329","0","0","3","0","0","VACA","EN ORDEÑO","0","0","0","0"
"2891","17","Alta","216","18.03","38.1","44.1","0.43","646","0","0","6","0","0","VACA","EN ORDEÑO","0","0","0","0"
"2927","17","Vacia","265","14.83","33.7","37.5","-0.14","2282","0","0","9","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3041","17","Insem","310","19.6","41.6","45.7","-0.19","5188","0","0","2","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3111","17","Alta","239","22.4","53.8","47.5","-0.22","1878","0","0","2","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3120","17","Preñ","377","15.6","36.5","37.3","0.35","6188","2","Preñ","4","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3280","17","Preñ","441","13.89","34","34.5","-0.19","8656","1","Preñ","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3323","17","Preñ","417","11.35","25.6","28.8","-0.44","6730","1","Preñ","3","6","0","VACA","PRÓXIMA AL PARTO","0","0","0","0"
"3393","17","Alta","217","13.8","33","34.7","1.07","410","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"2991","18","Preñ2","528","16.26","31.3","30","0","12929","0","0","2","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3174","18","Preñ","518","14.43","27.2","25.1","-0.49","9718","2","Preñ","1","-8","0","VACA","PRÓXIMA AL PARTO","0","0","0","0"
"3207","18","Preñ2","611","7.22","14.8","15.5","-0.52","12928","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3231","18","Preñ2","468","16.4","32.4","31.2","-0.28","7545","0","0","2","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3276","18","Preñ","437","19.61","38.3","34.9","0.42","7152","1","Preñ","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3286","18","Preñ2","446","18.05","36.7","34.9","0.21","7765","0","0","1","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3288","18","Preñ2","448","16.35","32.9","32.8","0.09","7626","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3289","18","Preñ2","460","14.44","30.2","30.7","0.24","7819","0","0","1","-22","0","VACA","PRÓXIMA AL PARTO","0","0","0","0"
"3290","18","Preñ","491","15.66","32.8","31.1","0.12","8707","1","Preñ","0","-6","0","VACA","PRÓXIMA AL PARTO","0","0","0","0"
"3292","18","Abort","436","18.89","38.6","37.7","-0.06","7560","0","0","1","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3295","18","Preñ2","469","15.1","30.3","28.9","-0.14","7167","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3297","18","Preñ2","473","10.82","23","21.6","0.29","7447","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3299","18","Preñ2","443","15.82","32.7","32.2","0.54","6853","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3306","18","Preñ2","429","16.6","32.6","30.6","-0.3","6758","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3307","18","Preñ2","433","15.69","29.6","29.7","0.56","6248","0","0","1","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3311","18","Preñ","434","12.31","25","22.4","-0.65","5986","1","Preñ","0","13","0","VACA","PRÓXIMA AL PARTO","0","0","0","0"
"3319","18","Preñ2","431","16.51","34.7","34.2","-0.18","7159","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3322","18","Preñ2","416","16.18","32.9","31.7","0.09","6333","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3332","18","Preñ","351","16.6","31.3","29.4","0.01","3429","1","Preñ","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3341","18","Preñ","376","18.17","36.2","34.9","-0.72","5290","1","Preñ","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3351","18","Preñ","365","16.48","33.1","29.3","0","4321","1","Preñ","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3352","18","Preñ","361","15.29","31.6","31.3","-0.1","4189","1","Preñ","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3298","19","Preñ","316","18.79","38.5","38.1","0.15","3707","1","Preñ","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3308","19","Preñ","340","18.37","36.9","36.2","-0.05","4711","1","Preñ","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3339","19","Insem","284","17","33.9","32.2","0.37","2041","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3340","19","Preñ","325","17.91","34.8","34.1","-0.43","4223","1","Preñ","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3346","19","Insem","297","20.48","41","37.9","-0.24","2929","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3350","19","Preñ","337","15.27","29.9","28.7","-0.09","3968","1","Preñ","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3353","19","Vacia","311","20.77","43.2","42","0","4545","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3354","19","Preñ","322","21.13","42.9","40.7","0.06","4923","1","Preñ","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3356","19","Preñ","348","15.6","30.8","30.5","0","4462","1","Preñ","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3358","19","Preñ","333","14.89","28.9","26","0.51","4082","1","Preñ","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3360","19","Preñ","328","18.5","37.1","35.4","-0.14","4400","1","Preñ","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3363","19","Preñ","312","11.52","21.2","26.1","-0.75","3262","1","Preñ","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3364","19","Insem","306","19.18","38","36.4","0.34","3756","0","0","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
"3369","19","Preñ","325","18.74","38.2","38","0.18","4365","1","Preñ","0","0","0","VACA","EN ORDEÑO","0","0","0","0"
