"ID_Vaca","Grupo","DIM","Leche_Total","E_Prod","E_Seca","Fecha_Secado","Dias_Seca","Toro_Seca","Lact_N","E_Gest","Fecha_Insem","Toro_Ins","Tipo","Status_Repro","Status_Final","Fecha_Nac","Edad_Meses","Categoria","Toro_Padre"
"3222","9","185","27.6","Alta","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"3228","9","198","41","Alta","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"3265","9","205","36.1","Alta","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"3345","9","326","12","Vacia","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"3385","9","191","24.2","Alta","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"3414","9","184","22","Alta","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"3415","9","191","15","Alta","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"3171","10","248","42.7","Alta","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"3172","10","387","37","Preñ","0","0","0","0","2","Preñ","0","0","VACA","VACAPREÑACTUAL","EN ORDEÑO","0","0","0","0"
"3361","10","323","28.5","Preñ","0","0","0","0","1","Preñ","0","0","VACA","VACAPREÑACTUAL","EN ORDEÑO","0","0","0","0"
"3366","10","338","31","Preñ","0","0","0","0","1","Preñ","0","0","VACA","VACAPREÑACTUAL","EN ORDEÑO","0","0","0","0"
"3390","10","226","36.3","Alta","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"2811","11","258","36.5","Vacia","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"2867","11","528","31","Preñ","0","0","0","0","3","Preñ","0","0","VACA","VACAPREÑACTUAL","EN ORDEÑO","0","0","0","0"
"2972","11","325","40.5","Insem","0","0","0","0","0","0","12-09-25","WISEUP","VACA","INSEMINADA","EN ORDEÑO","0","0","0","0"
"3020","11","289","42.8","Insem","0","0","0","0","0","0","8-09-25","WISEUP","VACA","INSEMINADA","EN ORDEÑO","0","0","0","0"
"3043","11","314","45.8","Vacia","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"3066","11","236","43.7","Alta","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"3076","11","577","24.4","Preñ2","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"3145","11","312","35.7","Preñ","0","0","0","0","2","Preñ","0","0","VACA","VACAPREÑACTUAL","EN ORDEÑO","0","0","0","0"
"3157","11","370","41","Preñ","0","0","0","0","2","Preñ","0","0","VACA","VACAPREÑACTUAL","EN ORDEÑO","0","0","0","0"
"3161","11","405","27.9","Insem","0","0","0","0","0","0","1-09-25","WISEUP","VACA","INSEMINADA","EN ORDEÑO","0","0","0","0"
"3321","11","288","41.1","Insem","0","0","0","0","0","0","8-09-25","INDEPENDANT","VACA","INSEMINADA","EN ORDEÑO","0","0","0","0"
"3325","11","261","33.7","Vacia","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"3337","11","434","26.9","Preñ","0","0","0","0","1","Preñ","0","0","VACA","VACAPREÑACTUAL","EN ORDEÑO","0","0","0","0"
"3349","11","289","32.5","Insem","0","0","0","0","0","0","12-09-25","INDEPENDANT","VACA","INSEMINADA","EN ORDEÑO","0","0","0","0"
"3368","11","329","40","Insem","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"3371","11","317","37","Preñ","0","0","0","0","1","Preñ","0","0","VACA","VACAPREÑACTUAL","EN ORDEÑO","0","0","0","0"
"2678","12","262","41.9","Vacia","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"2748","12","417","37.6","Preñ","0","0","0","0","5","Preñ","0","0","VACA","VACAPREÑACTUAL","EN ORDEÑO","0","0","0","0"
"2788","12","323","39.6","Insem","0","0","0","0","0","0","12-09-25","INDEPENDANT","VACA","INSEMINADA","EN ORDEÑO","0","0","0","0"
"2905","12","257","34.6","Vacia","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"2909","12","337","44.7","Insem","0","0","0","0","0","0","15-09-25","INDEPENDANT","VACA","INSEMINADA","EN ORDEÑO","0","0","0","0"
"2933","12","357","38.4","Preñ","0","0","0","0","3","Preñ","0","0","VACA","VACAPREÑACTUAL","EN ORDEÑO","0","0","0","0"
"2936","12","279","27.1","Matar","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"2948","12","296","43.3","Insem","0","0","0","0","0","0","7-09-25","INDEPENDANT","VACA","INSEMINADA","EN ORDEÑO","0","0","0","0"
"2979","12","412","33.8","Insem","0","0","0","0","0","0","15-09-25","INDEPENDANT","VACA","INSEMINADA","EN ORDEÑO","0","0","0","0"
"2997","12","221","41.8","Alta","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"3027","12","367","35.6","Insem","0","0","0","0","0","0","26-08-25","WISEUP","VACA","INSEMINADA","EN ORDEÑO","0","0","0","0"
"3035","12","274","36","Insem","0","0","0","0","0","0","22-09-25","INDEPENDANT","VACA","INSEMINADA","EN ORDEÑO","0","0","0","0"
"3064","12","216","49.4","Alta","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"3148","12","321","36.6","Preñ","0","0","0","0","2","Preñ","0","0","VACA","VACAPREÑACTUAL","EN ORDEÑO","0","0","0","0"
"3155","12","468","31.9","Preñ","0","0","0","0","2","Preñ","0","0","VACA","VACAPREÑACTUAL","EN ORDEÑO","0","0","0","0"
"3328","12","414","31.6","Preñ","0","0","0","0","1","Preñ","0","0","VACA","VACAPREÑACTUAL","EN ORDEÑO","0","0","0","0"
"3378","12","266","36.1","Vacia","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"3382","12","262","32.9","Vacia","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"2713","13","219","47.2","Alta","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"2761","13","208","46.5","Alta","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"2813","13","218","44","Alta","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"2962","13","212","49.9","Alta","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"3097","13","195","48.9","Alta","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"3114","13","201","38.4","Alta","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"3126","13","216","44.4","Alta","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"3142","13","194","48.4","Alta","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"3230","13","208","44.3","Alta","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"3241","13","209","28.4","Alta","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"3248","13","205","49","Alta","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"3258","13","219","49.2","Alta","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"3263","13","209","42.1","Alta","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"3264","13","209","34.1","Alta","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
